fips,date,cases,deaths
53033,71,235,27
53033,72,271,28
53033,73,329,33
53033,74,389,36
53033,75,421,38
36119,76,219,0
53033,76,489,44
36119,77,379,0
53033,77,518,47
53061,77,265,4
36119,78,537,0
53033,78,563,57
53061,78,309,5
06037,79,231,2
17031,79,279,2
22071,79,252,8
34003,79,297,6
36059,79,382,3
36119,79,797,0
53033,79,693,61
53061,79,347,6
06037,80,292,2
17031,80,412,3
22071,80,329,8
26163,80,216,3
34003,80,342,7
36059,80,754,4
36103,80,371,7
36119,80,1091,0
53033,80,794,68
53061,80,384,7
06037,81,351,4
06085,81,263,8
17031,81,548,4
22071,81,418,13
26125,81,229,1
26163,81,349,4
34003,81,362,9
36059,81,1234,7
36087,81,262,3
36103,81,662,9
36119,81,1387,0
53033,81,935,76
53061,81,446,9
06037,82,421,5
06073,82,205,0
06085,82,303,11
09001,82,208,5
12011,82,217,3
12086,82,228,0
17031,82,805,6
22071,82,451,15
26125,82,277,1
26163,82,477,5
34003,82,457,10
36059,82,1900,7
36071,82,247,0
36087,82,455,3
36103,82,1034,12
36119,82,1873,0
53033,82,1036,77
53061,82,480,10
06037,83,536,7
06073,83,230,0
06085,83,321,11
09001,83,270,6
12011,83,262,3
12086,83,277,0
17031,83,922,9
22051,83,252,5
22071,83,567,20
25017,83,232,1
26125,83,329,4
26163,83,638,8
34003,83,609,12
34013,83,273,5
34023,83,210,1
34025,83,238,2
36059,83,2442,9
36071,83,389,0
36087,83,592,5
36103,83,1458,13
36119,83,2894,0
53033,83,1166,88
53061,83,518,10
55079,83,206,3
06037,84,662,11
06073,84,242,1
06085,84,375,17
09001,84,384,7
12011,84,312,3
12086,84,365,0
17031,84,1194,12
22051,84,293,6
22071,84,675,26
25017,84,304,2
25025,84,234,3
26099,84,225,3
26125,84,428,4
26163,84,873,13
32003,84,249,6
34003,84,701,14
34013,84,342,8
34017,84,234,3
34023,84,277,1
34025,84,288,4
34027,84,204,4
34031,84,216,3
34039,84,246,2
36059,84,2869,9
36071,84,498,0
36087,84,671,5
36103,84,1880,13
36119,84,3891,6
47037,84,253,2
53033,84,1278,95
53061,84,613,15
55079,84,243,3
04013,85,251,2
06037,85,799,13
06073,85,297,2
06085,85,459,18
08031,85,214,3
09001,85,546,12
12011,85,412,3
12086,85,489,0
13121,85,204,4
17031,85,1418,13
18097,85,227,7
22051,85,359,7
22071,85,827,37
25017,85,446,2
25021,85,222,2
25025,85,342,3
26099,85,281,7
26125,85,543,10
26163,85,1122,21
32003,85,249,6
34003,85,819,15
34013,85,381,11
34017,85,260,4
34023,85,316,2
34025,85,313,6
34027,85,223,5
34029,85,222,5
34031,85,255,4
34039,85,262,3
36059,85,3285,17
36071,85,638,0
36087,85,1069,7
36103,85,2260,20
36119,85,4691,6
39035,85,206,2
42101,85,257,1
47037,85,257,2
53033,85,1360,101
53061,85,633,15
55079,85,325,4
04013,86,299,4
06037,86,1216,21
06059,86,256,1
06073,86,341,3
06075,86,226,2
06085,86,542,20
08031,86,262,3
09001,86,607,13
11001,86,231,3
12011,86,505,3
12086,86,653,0
13121,86,231,4
17031,86,1904,18
18097,86,294,7
22051,86,458,12
22071,86,997,46
25009,86,247,3
25017,86,538,5
25021,86,292,3
25025,86,448,4
26099,86,347,11
26125,86,695,17
26163,86,1389,26
32003,86,350,10
34003,86,1206,21
34013,86,609,15
34017,86,441,4
34023,86,505,5
34025,86,501,7
34027,86,315,7
34029,86,389,5
34031,86,399,5
34039,86,432,3
36059,86,3914,19
36071,86,751,2
36087,86,1197,7
36103,86,2735,22
36119,86,5944,8
39035,86,259,2
42091,86,282,2
42101,86,402,1
47037,86,293,2
48113,86,303,7
48201,86,203,2
53033,86,1579,111
53061,86,778,18
55079,86,393,7
04013,87,399,5
06001,87,241,4
06037,87,1465,27
06059,87,321,3
06073,87,417,5
06075,87,282,3
06081,87,239,6
06085,87,574,21
08031,87,312,3
09001,87,752,15
09009,87,222,6
11001,87,267,3
12011,87,631,10
12086,87,869,2
12099,87,241,5
13089,87,219,2
13095,87,203,12
13121,87,347,12
17031,87,2239,20
17097,87,230,2
18097,87,485,9
22051,87,548,24
22071,87,1170,57
24031,87,208,1
25009,87,350,3
25017,87,685,6
25021,87,393,7
25025,87,631,4
25027,87,219,4
26099,87,404,14
26125,87,824,26
26163,87,1810,37
29189,87,247,2
32003,87,443,10
34003,87,1505,28
34013,87,826,18
34017,87,594,4
34023,87,640,9
34025,87,634,10
34027,87,391,9
34029,87,484,8
34031,87,484,5
34035,87,222,7
34039,87,519,3
36027,87,225,2
36029,87,219,6
36059,87,4657,27
36071,87,910,3
36087,87,1457,8
36103,87,3385,22
36119,87,7187,10
