"host","bytes","date","time","day","url_type"
"31.75.med.umich.edu",3998,187,16,"Thursday","other"
"31.75.med.umich.edu",40310,187,16,"Thursday","gif"
"31.75.med.umich.edu",786,187,16,"Thursday","gif"
"31.75.med.umich.edu",1204,187,16,"Thursday","gif"
"31.75.med.umich.edu",13436,187,16,"Thursday","html"
"31.75.med.umich.edu",12054,187,16,"Thursday","gif"
"31.75.med.umich.edu",1713,187,16,"Thursday","gif"
"31.75.med.umich.edu",0,187,16,"Thursday","other"
"31.dn258-lab.marist.edu",7280,213,22,"Tuesday","other"
"31.dn258-lab.marist.edu",5866,213,22,"Tuesday","gif"
"31.dn258-lab.marist.edu",363,213,22,"Tuesday","gif"
"31.dn258-lab.marist.edu",786,213,22,"Tuesday","gif"
"31.dn258-lab.marist.edu",234,213,22,"Tuesday","gif"
"31.dn258-lab.marist.edu",669,213,22,"Tuesday","gif"
"31.dn258-lab.marist.edu",3977,213,22,"Tuesday","html"
"31.dn258-lab.marist.edu",11473,213,22,"Tuesday","gif"
"31.dn258-lab.marist.edu",1204,213,22,"Tuesday","gif"
"3dwave.stanford.edu",18114,203,17,"Saturday","html"
"3dwave.stanford.edu",12859,203,17,"Saturday","gif"
"3dwave.stanford.edu",3635,203,17,"Saturday","gif"
"3dwave.stanford.edu",4209,203,17,"Saturday","gif"
"3dwave.stanford.edu",73728,203,17,"Saturday","jpg"
"3dwave.stanford.edu",7008,203,17,"Saturday","html"
"3dwave.stanford.edu",13116,203,17,"Saturday","gif"
"3dwave.stanford.edu",2537,203,17,"Saturday","gif"
"71.178.med.umich.edu",7071,198,10,"Monday","other"
"71.178.med.umich.edu",5866,198,10,"Monday","gif"
"71.178.med.umich.edu",786,198,10,"Monday","gif"
"71.178.med.umich.edu",363,198,10,"Monday","gif"
"71.178.med.umich.edu",234,198,10,"Monday","gif"
"71.178.med.umich.edu",669,198,10,"Monday","gif"
"aal54.ccs.itd.umich.edu",3985,186,16,"Wednesday","other"
"aal54.ccs.itd.umich.edu",40310,186,16,"Wednesday","gif"
"aal54.ccs.itd.umich.edu",786,186,16,"Wednesday","gif"
"aal54.ccs.itd.umich.edu",1204,186,16,"Wednesday","gif"
"aal54.ccs.itd.umich.edu",8677,186,16,"Wednesday","html"
"aal54.ccs.itd.umich.edu",11853,186,16,"Wednesday","gif"
"abram-jimmy.evermann.indiana.edu",11175,200,15,"Wednesday","gif"
"abram-jimmy.evermann.indiana.edu",41397,200,15,"Wednesday","html"
"abram-jimmy.evermann.indiana.edu",3635,200,15,"Wednesday","gif"
"abram-jimmy.evermann.indiana.edu",4209,200,15,"Wednesday","gif"
"abram-jimmy.evermann.indiana.edu",6922,200,15,"Wednesday","html"
"abram-jimmy.evermann.indiana.edu",11417,200,15,"Wednesday","gif"
"abram-jimmy.evermann.indiana.edu",1932,200,15,"Wednesday","gif"
"abram-jimmy.evermann.indiana.edu",8089,200,15,"Wednesday","html"
"abram-jimmy.evermann.indiana.edu",4179,200,15,"Wednesday","gif"
"acd.ucar.edu",7634,187,13,"Thursday","html"
"acd.ucar.edu",1204,215,14,"Thursday","gif"
"acd.ucar.edu",1713,215,14,"Thursday","gif"
"acd.ucar.edu",1173,215,14,"Thursday","gif"
"acsmac15.acn.purdue.edu",7071,199,12,"Tuesday","html"
"acsmac15.acn.purdue.edu",5866,199,12,"Tuesday","gif"
"acsmac15.acn.purdue.edu",363,199,12,"Tuesday","gif"
"acsmac15.acn.purdue.edu",234,199,12,"Tuesday","gif"
"acsmac15.acn.purdue.edu",786,199,12,"Tuesday","gif"
"acsmac15.acn.purdue.edu",669,199,12,"Tuesday","gif"
"acsmac15.acn.purdue.edu",3977,199,12,"Tuesday","html"
"acsmac15.acn.purdue.edu",11473,199,12,"Tuesday","gif"
"acsmac15.acn.purdue.edu",1204,199,12,"Tuesday","gif"
"alaw59.law.uiuc.edu",7071,199,8,"Tuesday","html"
"alaw59.law.uiuc.edu",5866,199,8,"Tuesday","gif"
"alaw59.law.uiuc.edu",786,199,8,"Tuesday","gif"
"alaw59.law.uiuc.edu",363,199,8,"Tuesday","gif"
"alaw59.law.uiuc.edu",234,199,8,"Tuesday","gif"
"alaw59.law.uiuc.edu",669,199,8,"Tuesday","gif"
"alaw59.law.uiuc.edu",4464,199,8,"Tuesday","html"
"alibaba-14.slip.bradley.edu",4324,204,14,"Sunday","other"
"alibaba-14.slip.bradley.edu",4324,204,14,"Sunday","other"
"alibaba-14.slip.bradley.edu",786,204,14,"Sunday","gif"
"alibaba-14.slip.bradley.edu",1204,204,14,"Sunday","gif"
"alibaba-14.slip.bradley.edu",46573,204,14,"Sunday","gif"
"alibaba-14.slip.bradley.edu",2435,204,14,"Sunday","html"
"alibaba-14.slip.bradley.edu",5978,204,14,"Sunday","gif"
"ames-research-pc-6.ucsd.edu",14385,191,12,"Monday","gif"
"ames-research-pc-6.ucsd.edu",49152,191,12,"Monday","html"
"ames-research-pc-6.ucsd.edu",6922,191,12,"Monday","html"
"ames-research-pc-6.ucsd.edu",11417,191,12,"Monday","gif"
"ames-research-pc-6.ucsd.edu",3635,191,12,"Monday","gif"
"ames-research-pc-6.ucsd.edu",1932,191,12,"Monday","gif"
"amrit.me.jhu.edu",891,233,22,"Monday","gif"
"amrit.me.jhu.edu",1204,233,22,"Monday","gif"
"anat3d2.anatomy.upenn.edu",84905,219,12,"Monday","html"
"anat3d2.anatomy.upenn.edu",4179,219,12,"Monday","gif"
"anat3d2.anatomy.upenn.edu",1204,219,12,"Monday","gif"
"anat3d2.anatomy.upenn.edu",1713,219,12,"Monday","gif"
"anat3d2.anatomy.upenn.edu",71655,219,12,"Monday","html"
"anat3d2.anatomy.upenn.edu",36902,219,12,"Monday","gif"
"anat3d2.anatomy.upenn.edu",55666,219,12,"Monday","gif"
"anat3d2.anatomy.upenn.edu",28219,219,12,"Monday","gif"
"anat3d2.anatomy.upenn.edu",891,219,12,"Monday","gif"
"annex-v32bis2-31.slip.andrew.cmu.edu",3998,187,14,"Thursday","other"
"annex-v32bis2-31.slip.andrew.cmu.edu",40310,187,14,"Thursday","gif"
"annex-v32bis2-31.slip.andrew.cmu.edu",1204,187,14,"Thursday","gif"
"annex-v32bis2-31.slip.andrew.cmu.edu",786,187,14,"Thursday","gif"
"annex-v32bis2-31.slip.andrew.cmu.edu",4524,187,14,"Thursday","html"
"annex-v32bis2-31.slip.andrew.cmu.edu",66554,187,14,"Thursday","gif"
"annex-v32bis2-31.slip.andrew.cmu.edu",543,187,14,"Thursday","pl"
"annex-v32bis2-31.slip.andrew.cmu.edu",3998,187,14,"Thursday","html"
"aragorn173.acns.nwu.edu",7634,185,21,"Tuesday","html"
"aragorn173.acns.nwu.edu",18114,185,21,"Tuesday","html"
"aragorn173.acns.nwu.edu",12859,185,21,"Tuesday","gif"
"aragorn173.acns.nwu.edu",3635,185,21,"Tuesday","gif"
"aragorn173.acns.nwu.edu",4209,185,21,"Tuesday","gif"
"aragorn173.acns.nwu.edu",17688,236,16,"Thursday","other"
"arcadia.ece.miami.edu",7089,240,12,"Monday","other"
"arcadia.ece.miami.edu",5866,240,12,"Monday","gif"
"arcadia.ece.miami.edu",786,240,12,"Monday","gif"
"arcadia.ece.miami.edu",363,240,12,"Monday","gif"
"arcadia.ece.miami.edu",234,240,12,"Monday","gif"
"arcadia.ece.miami.edu",669,240,12,"Monday","gif"
"arcadia.ece.miami.edu",3977,240,12,"Monday","html"
"arcadia.ece.miami.edu",11473,240,12,"Monday","gif"
"arcadia.ece.miami.edu",1204,240,12,"Monday","gif"
"as2511-11.sl002.cns.vt.edu",17459,236,19,"Thursday","gif"
"as2511-11.sl002.cns.vt.edu",49705,236,19,"Thursday","html"
"as2511-11.sl002.cns.vt.edu",4393,236,19,"Thursday","html"
"as2511-11.sl002.cns.vt.edu",52516,236,19,"Thursday","gif"
"as2511-11.sl002.cns.vt.edu",6168,236,19,"Thursday","html"
"as2511-11.sl002.cns.vt.edu",5052,236,19,"Thursday","gif"
"as2511-11.sl002.cns.vt.edu",3635,236,19,"Thursday","gif"
"as2511-11.sl002.cns.vt.edu",1932,236,19,"Thursday","gif"
"as2511-11.sl011.cns.vt.edu",9866,217,17,"Saturday","html"
"as2511-11.sl011.cns.vt.edu",25218,217,17,"Saturday","gif"
"as2511-11.sl011.cns.vt.edu",1414,217,17,"Saturday","gif"
"as2511-11.sl011.cns.vt.edu",4441,217,17,"Saturday","gif"
"as2511-11.sl011.cns.vt.edu",13372,217,17,"Saturday","gif"
"as2511-11.sl011.cns.vt.edu",1204,217,17,"Saturday","gif"
"as2511-11.sl011.cns.vt.edu",363,217,17,"Saturday","gif"
"as2511-11.sl011.cns.vt.edu",234,217,17,"Saturday","gif"
"as2511-11.sl011.cns.vt.edu",669,217,17,"Saturday","gif"
"asl.ise.vt.edu",3985,184,7,"Monday","other"
"asl.ise.vt.edu",1204,184,7,"Monday","gif"
"asl.ise.vt.edu",40310,184,7,"Monday","gif"
"asl.ise.vt.edu",786,184,7,"Monday","gif"
"asl.ise.vt.edu",12290,184,7,"Monday","html"
"asl.ise.vt.edu",12054,184,7,"Monday","gif"
"asl.ise.vt.edu",1713,184,7,"Monday","gif"
"asl.ise.vt.edu",3985,184,7,"Monday","other"
"astro1.panet.utoledo.edu",3985,184,6,"Monday","other"
"astro1.panet.utoledo.edu",786,184,6,"Monday","gif"
"astro1.panet.utoledo.edu",1204,184,6,"Monday","gif"
"astro1.panet.utoledo.edu",40310,184,6,"Monday","gif"
"astro1.panet.utoledo.edu",7634,184,6,"Monday","html"
"astro1.panet.utoledo.edu",46888,184,6,"Monday","jpg"
"astro1.panet.utoledo.edu",16102,184,6,"Monday","gif"
"astro1.panet.utoledo.edu",53003,184,6,"Monday","html"
"astro1.panet.utoledo.edu",11853,234,18,"Tuesday","gif"
"async1.async.duke.edu",3626,201,10,"Thursday","html"
"async79.async.duke.edu",18114,193,17,"Wednesday","html"
"async79.async.duke.edu",12859,193,17,"Wednesday","gif"
"async79.async.duke.edu",4209,193,17,"Wednesday","gif"
"async79.async.duke.edu",3635,193,17,"Wednesday","gif"
"async99.async.duke.edu",7280,209,18,"Friday","other"
"async99.async.duke.edu",5866,209,18,"Friday","gif"
"async99.async.duke.edu",786,209,18,"Friday","gif"
"async99.async.duke.edu",363,209,18,"Friday","gif"
"async99.async.duke.edu",234,209,18,"Friday","gif"
"async99.async.duke.edu",669,209,18,"Friday","gif"
"aurora.met.utah.edu",9648,234,21,"Tuesday","html"
"aurora.met.utah.edu",25218,234,21,"Tuesday","gif"
"aurora.met.utah.edu",4441,234,21,"Tuesday","gif"
"aurora.met.utah.edu",13372,234,21,"Tuesday","gif"
"aurora.met.utah.edu",1204,234,21,"Tuesday","gif"
"aurora.met.utah.edu",363,234,21,"Tuesday","gif"
"aurora.met.utah.edu",234,234,21,"Tuesday","gif"
"aurora.met.utah.edu",669,234,21,"Tuesday","gif"
"b2127.nas.edu",4179,192,15,"Tuesday","gif"
"b2127.nas.edu",84907,192,15,"Tuesday","html"
"b2127.nas.edu",1204,192,15,"Tuesday","gif"
"b2127.nas.edu",1713,192,15,"Tuesday","gif"
"b2127.nas.edu",3635,192,15,"Tuesday","gif"
"b2127.nas.edu",3938,192,15,"Tuesday","gif"
"b37at2a-dyn-05.mit.edu",4179,191,13,"Monday","gif"
"b37at2a-dyn-05.mit.edu",84907,191,13,"Monday","html"
"b37at2a-dyn-05.mit.edu",1204,191,13,"Monday","gif"
"b37at2a-dyn-05.mit.edu",1713,191,13,"Monday","gif"
"b37at2a-dyn-05.mit.edu",65536,191,13,"Monday","html"
"ba67782.coba.unt.edu",9866,205,12,"Monday","html"
"ba67782.coba.unt.edu",1414,205,12,"Monday","gif"
"ba67782.coba.unt.edu",4441,205,12,"Monday","gif"
"ba67782.coba.unt.edu",25218,205,12,"Monday","gif"
"ba67782.coba.unt.edu",13372,205,12,"Monday","gif"
"ba67782.coba.unt.edu",1204,205,12,"Monday","gif"
"ba67782.coba.unt.edu",669,205,12,"Monday","gif"
"bach.math.ufl.edu",17688,209,9,"Friday","other"
"bach.math.ufl.edu",509,209,9,"Friday","xbm"
"bach.math.ufl.edu",527,209,9,"Friday","xbm"
"bach.math.ufl.edu",509,209,9,"Friday","xbm"
"bach.math.ufl.edu",515,209,9,"Friday","xbm"
"bach.math.ufl.edu",234,209,9,"Friday","gif"
"bach.math.ufl.edu",52516,209,9,"Friday","gif"
"bailey.tcad.ee.ufl.edu",27063,216,10,"Friday","html"
"bailey.tcad.ee.ufl.edu",3635,216,10,"Friday","gif"
"bailey.tcad.ee.ufl.edu",263,216,10,"Friday","gif"
"barclay-33.tamu.edu",3985,186,13,"Wednesday","other"
"barclay-33.tamu.edu",40310,186,13,"Wednesday","gif"
"barclay-33.tamu.edu",786,186,13,"Wednesday","gif"
"barclay-33.tamu.edu",1204,186,13,"Wednesday","gif"
"barclay-33.tamu.edu",3089,186,13,"Wednesday","html"
"barclay-33.tamu.edu",12054,186,13,"Wednesday","gif"
"barclay-33.tamu.edu",65536,186,13,"Wednesday","mpg"
"barclay-33.tamu.edu",57344,186,13,"Wednesday","mpg"
"barclay-33.tamu.edu",57344,186,13,"Wednesday","mpg"
"basil.bh.andrew.cmu.edu",7131,228,11,"Wednesday","other"
"basil.bh.andrew.cmu.edu",5866,228,11,"Wednesday","gif"
"basil.bh.andrew.cmu.edu",786,228,11,"Wednesday","gif"
"basil.bh.andrew.cmu.edu",363,228,11,"Wednesday","gif"
"basil.bh.andrew.cmu.edu",234,228,11,"Wednesday","gif"
"basil.bh.andrew.cmu.edu",669,228,11,"Wednesday","gif"
"bcohen-170.stanford.edu",3260,192,16,"Tuesday","html"
"bcohen-170.stanford.edu",18149,192,16,"Tuesday","gif"
"bcohen-170.stanford.edu",1204,192,16,"Tuesday","gif"
"bcohen-170.stanford.edu",1173,192,16,"Tuesday","gif"
"bcohen-170.stanford.edu",3842,192,16,"Tuesday","html"
"bcohen-170.stanford.edu",16979,192,16,"Tuesday","gif"
"bcohen-170.stanford.edu",3635,192,16,"Tuesday","gif"
"bcohen-170.stanford.edu",4209,192,16,"Tuesday","gif"
"becker1.u.washington.edu",8677,187,8,"Thursday","html"
"becker1.u.washington.edu",12722,187,8,"Thursday","html"
"becker1.u.washington.edu",3985,187,8,"Thursday","other"
"becker1.u.washington.edu",7634,187,8,"Thursday","html"
"becker1.u.washington.edu",0,187,8,"Thursday","other"
"becker1.u.washington.edu",6293,187,8,"Thursday","other"
"becker1.u.washington.edu",3564,195,21,"Friday","html"
"beef-curry.uhcc.hawaii.edu",9630,240,16,"Monday","html"
"beef-curry.uhcc.hawaii.edu",25218,240,16,"Monday","gif"
"beef-curry.uhcc.hawaii.edu",4441,240,16,"Monday","gif"
"beef-curry.uhcc.hawaii.edu",13372,240,16,"Monday","gif"
"beef-curry.uhcc.hawaii.edu",1204,240,16,"Monday","gif"
"beef-curry.uhcc.hawaii.edu",363,240,16,"Monday","gif"
"beef-curry.uhcc.hawaii.edu",234,240,16,"Monday","gif"
"beef-curry.uhcc.hawaii.edu",669,240,16,"Monday","gif"
"beef-curry.uhcc.hawaii.edu",23416,240,16,"Monday","gif"
"biad24.uthscsa.edu",3985,186,13,"Wednesday","other"
"biad24.uthscsa.edu",40310,186,13,"Wednesday","gif"
"biad24.uthscsa.edu",786,186,13,"Wednesday","gif"
"biad24.uthscsa.edu",1204,186,13,"Wednesday","gif"
"biad24.uthscsa.edu",16102,186,13,"Wednesday","gif"
"biad24.uthscsa.edu",53000,186,13,"Wednesday","html"
"biad24.uthscsa.edu",1713,186,13,"Wednesday","gif"
"biad24.uthscsa.edu",3635,186,13,"Wednesday","gif"
"biad24.uthscsa.edu",2537,186,13,"Wednesday","gif"
"bluebonnet.ns.utexas.edu",20304,216,13,"Friday","html"
"bluebonnet.ns.utexas.edu",5978,216,13,"Friday","gif"
"bluebonnet.ns.utexas.edu",1204,216,13,"Friday","gif"
"bluebonnet.ns.utexas.edu",1713,216,13,"Friday","gif"
"bluebonnet.ns.utexas.edu",1173,216,13,"Friday","gif"
"bluebonnet.ns.utexas.edu",13644,216,13,"Friday","html"
