"host","bytes","date","time","day","url_type"
"100.144.med.umich.edu",3998,187,11,"Thursday","other"
"100.144.med.umich.edu",786,187,11,"Thursday","gif"
"100.144.med.umich.edu",40310,187,11,"Thursday","gif"
"100.144.med.umich.edu",1204,187,11,"Thursday","gif"
"100.144.med.umich.edu",7634,187,11,"Thursday","html"
"100.144.med.umich.edu",31242,187,11,"Thursday","gif"
"100.144.med.umich.edu",45966,187,11,"Thursday","jpg"
"100.144.med.umich.edu",66202,187,11,"Thursday","jpg"
"100.144.med.umich.edu",25439,187,11,"Thursday","jpg"
"100.144.med.umich.edu",52491,187,11,"Thursday","jpg"
"100.144.med.umich.edu",46888,187,11,"Thursday","jpg"
"100.144.med.umich.edu",34029,187,11,"Thursday","jpg"
"100.144.med.umich.edu",3258,187,13,"Thursday","html"
"100.144.med.umich.edu",18149,187,13,"Thursday","gif"
"100.144.med.umich.edu",3635,187,13,"Thursday","gif"
"100.144.med.umich.edu",3047,187,13,"Thursday","gif"
"100.144.med.umich.edu",5086,187,13,"Thursday","txt"
"100.144.med.umich.edu",2522,187,13,"Thursday","html"
"100.144.med.umich.edu",4452,187,13,"Thursday","gif"
"118.32.med.umich.edu",11836,227,13,"Tuesday","html"
"118.32.med.umich.edu",8083,227,13,"Tuesday","gif"
"118.32.med.umich.edu",1713,227,13,"Tuesday","gif"
"118.32.med.umich.edu",1173,227,13,"Tuesday","gif"
"118.32.med.umich.edu",1204,227,13,"Tuesday","gif"
"118.32.med.umich.edu",6168,227,13,"Tuesday","html"
"118.32.med.umich.edu",5052,227,13,"Tuesday","gif"
"118.32.med.umich.edu",3635,227,13,"Tuesday","gif"
"118.32.med.umich.edu",1932,227,13,"Tuesday","gif"
"118.32.med.umich.edu",7131,227,13,"Tuesday","html"
"118.32.med.umich.edu",5866,227,13,"Tuesday","gif"
"118.32.med.umich.edu",786,227,13,"Tuesday","gif"
"118.32.med.umich.edu",363,227,13,"Tuesday","gif"
"118.32.med.umich.edu",234,227,13,"Tuesday","gif"
"118.32.med.umich.edu",669,227,13,"Tuesday","gif"
"218south.admin.unc.edu",8677,219,9,"Monday","html"
"218south.admin.unc.edu",11853,219,9,"Monday","gif"
"218south.admin.unc.edu",786,219,9,"Monday","gif"
"218south.admin.unc.edu",1204,219,9,"Monday","gif"
"218south.admin.unc.edu",11264,219,9,"Monday","html"
"218south.admin.unc.edu",8083,219,9,"Monday","gif"
"218south.admin.unc.edu",1713,219,9,"Monday","gif"
"218south.admin.unc.edu",1173,219,9,"Monday","gif"
"218south.admin.unc.edu",6168,219,9,"Monday","html"
"218south.admin.unc.edu",5052,219,9,"Monday","gif"
"218south.admin.unc.edu",3635,219,9,"Monday","gif"
"218south.admin.unc.edu",1932,219,9,"Monday","gif"
"218south.admin.unc.edu",4673,219,9,"Monday","other"
"218south.admin.unc.edu",46053,219,9,"Monday","gif"
"218south.admin.unc.edu",3714,219,9,"Monday","pl"
"218south.admin.unc.edu",13994,219,9,"Monday","gif"
"75223.bus.orst.edu",3998,187,12,"Thursday","other"
"75223.bus.orst.edu",40310,187,12,"Thursday","gif"
"75223.bus.orst.edu",1204,187,12,"Thursday","gif"
"75223.bus.orst.edu",786,187,12,"Thursday","gif"
"75223.bus.orst.edu",8677,187,12,"Thursday","html"
"75223.bus.orst.edu",11853,187,12,"Thursday","gif"
"75223.bus.orst.edu",3998,187,14,"Thursday","other"
"75223.bus.orst.edu",40310,187,14,"Thursday","gif"
"75223.bus.orst.edu",1204,187,14,"Thursday","gif"
"75223.bus.orst.edu",786,187,14,"Thursday","gif"
"acad145.sl.psu.edu",49590,206,9,"Tuesday","html"
"acad145.sl.psu.edu",17459,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",1713,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",1173,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",6168,206,9,"Tuesday","html"
"acad145.sl.psu.edu",5052,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",3635,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",1932,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",9271,206,9,"Tuesday","html"
"acad145.sl.psu.edu",11628,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",1204,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",71654,206,9,"Tuesday","html"
"acad145.sl.psu.edu",36902,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",891,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",55666,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",28219,206,9,"Tuesday","gif"
"acad145.sl.psu.edu",11628,206,9,"Tuesday","gif"
"academic.csubak.edu",1879,185,6,"Tuesday","html"
"academic.csubak.edu",4745,243,4,"Thursday","other"
"academic.csubak.edu",3873,243,4,"Thursday","pl"
"academic.csubak.edu",7014,243,4,"Thursday","html"
"academic.csubak.edu",704,243,4,"Thursday","pl"
"academic.csubak.edu",6168,243,4,"Thursday","html"
"academic.csubak.edu",14388,243,4,"Thursday","html"
"academic.csubak.edu",32252,243,4,"Thursday","html"
"academic.csubak.edu",4745,243,4,"Thursday","html"
"academic.csubak.edu",7037,243,4,"Thursday","html"
"academic.csubak.edu",704,243,4,"Thursday","pl"
"academic.csubak.edu",3873,243,4,"Thursday","pl"
"academic.csubak.edu",7037,243,4,"Thursday","html"
"academic.csubak.edu",4745,243,4,"Thursday","html"
"academic.csubak.edu",7089,243,4,"Thursday","html"
"academic.csubak.edu",14388,243,4,"Thursday","html"
"ad107.ag.ohio-state.edu",18114,195,11,"Friday","html"
"ad107.ag.ohio-state.edu",12859,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",18114,195,11,"Friday","html"
"ad107.ag.ohio-state.edu",3635,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",4209,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",3260,195,11,"Friday","html"
"ad107.ag.ohio-state.edu",1173,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",1204,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",18149,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",41397,195,11,"Friday","html"
"ad107.ag.ohio-state.edu",11175,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",3635,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",4209,195,11,"Friday","gif"
"ad107.ag.ohio-state.edu",11175,195,11,"Friday","gif"
"adder.eng.hmc.edu",19547,220,16,"Tuesday","html"
"adder.eng.hmc.edu",3635,220,16,"Tuesday","gif"
"adder.eng.hmc.edu",263,220,16,"Tuesday","gif"
"adder.eng.hmc.edu",15980,220,16,"Tuesday","gif"
"adder.eng.hmc.edu",58811,220,16,"Tuesday","html"
"adder.eng.hmc.edu",1204,220,16,"Tuesday","gif"
"adder.eng.hmc.edu",1173,220,16,"Tuesday","gif"
"adder.eng.hmc.edu",1713,220,16,"Tuesday","gif"
"adder.eng.hmc.edu",11757,220,16,"Tuesday","gif"
