"host","bytes","date","time","day"
"02-17-05.comsvc.calpoly.edu",11757,240,8,"Monday"
"02-17-05.comsvc.calpoly.edu",131166,240,8,"Monday"
"02-17-05.comsvc.calpoly.edu",1204,240,8,"Monday"
"02-17-05.comsvc.calpoly.edu",1173,240,8,"Monday"
"02-17-05.comsvc.calpoly.edu",1713,240,8,"Monday"
"0321jona.jon.rpslmc.edu",3260,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",18149,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",1204,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",1173,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",18149,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",18556,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",12859,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",18149,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",3526,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",11236,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",3635,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",4209,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",18149,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",3592,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",13539,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",2653,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",28426,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",2537,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",18149,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",1687,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",9202,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",3047,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",1602,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",9630,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",786,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",18149,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",26990,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",28847,241,2,"Tuesday"
"0321jona.jon.rpslmc.edu",3274,241,4,"Tuesday"
"0321jona.jon.rpslmc.edu",3274,241,4,"Tuesday"
"0772jela.jelke.rpslmc.edu",651,205,14,"Monday"
"0772jela.jelke.rpslmc.edu",786,205,14,"Monday"
"0772jela.jelke.rpslmc.edu",1204,205,14,"Monday"
"0875pr3e.pro.rpslmc.edu",8677,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",11853,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",786,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",1204,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",7131,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",5866,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",363,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",234,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",669,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",1602,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",9630,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",3260,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",18149,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",1173,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",2766,226,11,"Monday"
"0875pr3e.pro.rpslmc.edu",5086,226,11,"Monday"
"10.salc.wsu.edu",7074,185,23,"Tuesday"
"10.salc.wsu.edu",786,185,23,"Tuesday"
"10.salc.wsu.edu",5866,185,23,"Tuesday"
"10.salc.wsu.edu",234,185,23,"Tuesday"
"10.salc.wsu.edu",363,185,23,"Tuesday"
"10.salc.wsu.edu",669,185,23,"Tuesday"
"100.144.med.umich.edu",3998,187,11,"Thursday"
"100.144.med.umich.edu",786,187,11,"Thursday"
"100.144.med.umich.edu",40310,187,11,"Thursday"
"100.144.med.umich.edu",1204,187,11,"Thursday"
"100.144.med.umich.edu",7634,187,11,"Thursday"
"100.144.med.umich.edu",31242,187,11,"Thursday"
"100.144.med.umich.edu",45966,187,11,"Thursday"
"100.144.med.umich.edu",66202,187,11,"Thursday"
"100.144.med.umich.edu",25439,187,11,"Thursday"
"100.144.med.umich.edu",52491,187,11,"Thursday"
"100.144.med.umich.edu",46888,187,11,"Thursday"
"100.144.med.umich.edu",34029,187,11,"Thursday"
"100.144.med.umich.edu",3258,187,13,"Thursday"
"100.144.med.umich.edu",18149,187,13,"Thursday"
"100.144.med.umich.edu",3635,187,13,"Thursday"
"100.144.med.umich.edu",3047,187,13,"Thursday"
"100.144.med.umich.edu",5086,187,13,"Thursday"
"100.144.med.umich.edu",2522,187,13,"Thursday"
"100.144.med.umich.edu",4452,187,13,"Thursday"
"103.135.med.umich.edu",4209,206,6,"Tuesday"
"103.135.med.umich.edu",13583,206,6,"Tuesday"
"103.135.med.umich.edu",2676,206,6,"Tuesday"
"103.135.med.umich.edu",3635,206,6,"Tuesday"
"103.135.med.umich.edu",3260,206,6,"Tuesday"
