"host","bytes","date","time","day"
"egbert.cs.odu.edu",18556,242,5,"Wednesday"
"egbert.cs.odu.edu",12859,242,5,"Wednesday"
"egbert.cs.odu.edu",3635,242,5,"Wednesday"
"egbert.cs.odu.edu",4209,242,5,"Wednesday"
"egbert.cs.odu.edu",7008,242,5,"Wednesday"
"egbert.cs.odu.edu",13116,242,5,"Wednesday"
"egbert.cs.odu.edu",2537,242,5,"Wednesday"
"egbert.cs.odu.edu",143703,242,5,"Wednesday"
"egbert.cs.odu.edu",2653,242,5,"Wednesday"
"egbert.cs.odu.edu",28426,242,5,"Wednesday"
"egbert.sci.dixie.edu",42732,198,11,"Monday"
"egbert.sci.dixie.edu",49553,198,11,"Monday"
"egbert.sci.dixie.edu",4179,198,11,"Monday"
"egbert.sci.dixie.edu",84905,198,11,"Monday"
"egbert.sci.dixie.edu",1204,198,11,"Monday"
"egbert.sci.dixie.edu",1713,198,11,"Monday"
"egbert.sci.dixie.edu",891,198,11,"Monday"
"egbert.sci.dixie.edu",8678,198,11,"Monday"
"egbert.sci.dixie.edu",11853,198,11,"Monday"
"egbert.sci.dixie.edu",786,198,11,"Monday"
"egbert.sci.dixie.edu",49152,198,11,"Monday"
"egbert.sci.dixie.edu",49152,222,11,"Thursday"
"egel4.med.umn.edu",11757,222,9,"Thursday"
"egel4.med.umn.edu",122880,222,9,"Thursday"
"egel4.med.umn.edu",81920,222,9,"Thursday"
"egel4.med.umn.edu",6922,222,9,"Thursday"
"egel4.med.umn.edu",11417,222,9,"Thursday"
"egel4.med.umn.edu",1932,222,9,"Thursday"
"egel4.med.umn.edu",3635,222,9,"Thursday"
"egel4.med.umn.edu",7131,222,9,"Thursday"
"egel4.med.umn.edu",5866,222,9,"Thursday"
"egel4.med.umn.edu",786,222,9,"Thursday"
"egel4.med.umn.edu",234,222,9,"Thursday"
"egel4.med.umn.edu",363,222,9,"Thursday"
"egel4.med.umn.edu",669,222,9,"Thursday"
"egendoerfer.chem.nd.edu",4673,215,10,"Thursday"
"egendoerfer.chem.nd.edu",786,215,10,"Thursday"
"egendoerfer.chem.nd.edu",46053,215,10,"Thursday"
"egendoerfer.chem.nd.edu",1204,215,10,"Thursday"
"egjbp.nexus.olemiss.edu",4045,191,0,"Monday"
"egjbp.nexus.olemiss.edu",35709,191,0,"Monday"
"egjbp.nexus.olemiss.edu",3635,191,0,"Monday"
"egjbp.nexus.olemiss.edu",2537,191,0,"Monday"
"egjbp.nexus.olemiss.edu",11175,191,0,"Monday"
"egjbp.nexus.olemiss.edu",1457,191,0,"Monday"
"egjbp.nexus.olemiss.edu",4209,191,0,"Monday"
"egret.acns.nwu.edu",3714,206,12,"Tuesday"
"egret.acns.nwu.edu",13994,206,12,"Tuesday"
"egret.acns.nwu.edu",786,206,12,"Tuesday"
"egret.slac.stanford.edu",18556,222,17,"Thursday"
"egret.slac.stanford.edu",12859,222,17,"Thursday"
"egret.slac.stanford.edu",3635,222,17,"Thursday"
