"host","bytes","time","day"
"***.novo.dk",7067,1995-07-11 05:17:09,"Tuesday"
"***.novo.dk",5866,1995-07-11 05:17:11,"Tuesday"
"***.novo.dk",363,1995-07-11 05:17:31,"Tuesday"
"***.novo.dk",234,1995-07-11 05:17:33,"Tuesday"
"***.novo.dk",786,1995-07-11 05:17:34,"Tuesday"
"***.novo.dk",669,1995-07-11 05:17:38,"Tuesday"
"***.novo.dk",8678,1995-07-11 05:17:48,"Tuesday"
"***.novo.dk",11853,1995-07-11 05:17:51,"Tuesday"
"***.novo.dk",1204,1995-07-11 05:19:13,"Tuesday"
"***.novo.dk",786,1995-07-11 05:19:17,"Tuesday"
"***.novo.dk",1713,1995-07-11 05:22:03,"Tuesday"
"***.novo.dk",1173,1995-07-11 05:22:08,"Tuesday"
"***.novo.dk",6922,1995-07-11 05:23:01,"Tuesday"
"***.novo.dk",11264,1995-08-09 00:02:48,"Wednesday"
"***.novo.dk",8083,1995-08-09 00:02:55,"Wednesday"
"***.novo.dk",1204,1995-08-09 00:03:02,"Wednesday"
"***.novo.dk",1713,1995-08-09 00:03:06,"Wednesday"
"***.novo.dk",1173,1995-08-09 00:03:12,"Wednesday"
"***.novo.dk",4673,1995-08-09 00:03:52,"Wednesday"
"***.novo.dk",46053,1995-08-09 00:04:08,"Wednesday"
"***.novo.dk",786,1995-08-09 00:04:24,"Wednesday"
"***.novo.dk",3714,1995-08-09 00:05:07,"Wednesday"
"***.novo.dk",13994,1995-08-09 00:05:14,"Wednesday"
"***.novo.dk",4665,1995-08-09 00:05:38,"Wednesday"
"***.novo.dk",69067,1995-08-09 00:06:21,"Wednesday"
"***.novo.dk",543,1995-08-09 00:07:24,"Wednesday"
"***.novo.dk",1879,1995-08-09 00:07:40,"Wednesday"
"***.novo.dk",30232,1995-08-09 00:07:58,"Wednesday"
"***.novo.dk",1289,1995-08-09 00:08:22,"Wednesday"
"001.msy4.communique.net",9630,1995-08-29 23:55:47,"Wednesday"
"001.msy4.communique.net",25218,1995-08-29 23:55:49,"Wednesday"
"001.msy4.communique.net",4441,1995-08-29 23:55:49,"Wednesday"
"001.msy4.communique.net",13372,1995-08-29 23:55:50,"Wednesday"
"001.msy4.communique.net",1204,1995-08-29 23:55:53,"Wednesday"
"001.msy4.communique.net",363,1995-08-29 23:56:01,"Wednesday"
"001.msy4.communique.net",234,1995-08-29 23:56:03,"Wednesday"
"001.msy4.communique.net",669,1995-08-29 23:56:04,"Wednesday"
"007.thegap.com",3998,1995-07-06 14:22:35,"Thursday"
"007.thegap.com",40310,1995-07-06 14:22:40,"Thursday"
"007.thegap.com",786,1995-07-06 14:22:46,"Thursday"
"007.thegap.com",1204,1995-07-06 14:22:47,"Thursday"
"007.thegap.com",12722,1995-07-06 14:24:28,"Thursday"
"007.thegap.com",12054,1995-07-06 14:24:32,"Thursday"
"007.thegap.com",1713,1995-07-06 14:24:59,"Thursday"
"007.thegap.com",12722,1995-07-06 14:28:35,"Thursday"
"007.thegap.com",203429,1995-07-06 14:34:39,"Thursday"
"007.thegap.com",7634,1995-07-06 14:37:44,"Thursday"
"007.thegap.com",98304,1995-07-06 14:44:00,"Thursday"
"007.thegap.com",3998,1995-07-06 16:22:04,"Thursday"
"007.thegap.com",40310,1995-07-06 16:22:08,"Thursday"
"007.thegap.com",786,1995-07-06 16:22:12,"Thursday"
"007.thegap.com",1204,1995-07-06 16:22:14,"Thursday"
"007.thegap.com",4347,1995-07-06 16:23:26,"Thursday"
"007.thegap.com",20484,1995-07-06 16:23:29,"Thursday"
"007.thegap.com",891,1995-07-06 16:36:08,"Thursday"
"007.thegap.com",957,1995-07-09 17:59:58,"Monday"
"007.thegap.com",527,1995-07-09 18:00:00,"Monday"
"007.thegap.com",509,1995-07-09 18:00:01,"Monday"
"007.thegap.com",12283,1995-07-09 18:00:10,"Monday"
"007.thegap.com",527,1995-07-09 18:00:13,"Monday"
"007.thegap.com",509,1995-07-09 18:00:50,"Monday"
"007.thegap.com",7067,1995-07-09 18:01:57,"Monday"
"007.thegap.com",5866,1995-07-09 18:02:04,"Monday"
"007.thegap.com",4324,1995-07-23 13:40:47,"Sunday"
"007.thegap.com",786,1995-07-23 13:40:57,"Sunday"
"007.thegap.com",1204,1995-07-23 13:40:57,"Sunday"
"007.thegap.com",46573,1995-07-23 13:41:14,"Sunday"
"007.thegap.com",4673,1995-08-09 12:36:28,"Wednesday"
"007.thegap.com",786,1995-08-09 12:36:37,"Wednesday"
"007.thegap.com",1204,1995-08-09 12:36:37,"Wednesday"
"007.thegap.com",46053,1995-08-09 12:36:47,"Wednesday"
"01-dynamic-c.wokingham.luna.net",3089,1995-07-05 04:36:59,"Wednesday"
"01-dynamic-c.wokingham.luna.net",12054,1995-07-05 04:37:05,"Wednesday"
"01-dynamic-c.wokingham.luna.net",7067,1995-07-10 05:17:39,"Monday"
"01-dynamic-c.wokingham.luna.net",5866,1995-07-10 05:17:46,"Monday"
"01-dynamic-c.wokingham.luna.net",234,1995-07-10 05:17:48,"Monday"
"01-dynamic-c.wokingham.luna.net",669,1995-07-10 05:17:50,"Monday"
"01-dynamic-c.wokingham.luna.net",363,1995-07-10 05:17:52,"Monday"
"01-dynamic-c.wokingham.luna.net",786,1995-07-10 05:17:52,"Monday"
"01-dynamic-c.wokingham.luna.net",1602,1995-07-10 05:18:27,"Monday"
"01-dynamic-c.wokingham.luna.net",9630,1995-07-10 05:18:29,"Monday"
"01-dynamic-c.wokingham.luna.net",1204,1995-07-10 05:18:30,"Monday"
"01-dynamic-c.wokingham.luna.net",8678,1995-07-10 05:18:57,"Monday"
"01-dynamic-c.wokingham.luna.net",11853,1995-07-10 05:18:59,"Monday"
"01-dynamic-c.wokingham.luna.net",13374,1995-07-12 02:33:34,"Wednesday"
