articleID,commentType,recommendations,replyCount,min_since_pub
5869d08f95d0e03926078980,comment,1,4,273
5869d08f95d0e03926078980,comment,10,1,460
5869d08f95d0e03926078980,comment,13,2,652
5869d08f95d0e03926078980,comment,3,0,655
5869d08f95d0e03926078980,comment,2,4,779
5869d08f95d0e03926078980,comment,6,3,895
5869d08f95d0e03926078980,comment,28,0,961
5869d08f95d0e03926078980,comment,9,2,1313
5869d08f95d0e03926078980,comment,9,0,1331
5869d08f95d0e03926078980,comment,1,1,1336
5869d08f95d0e03926078980,comment,3,0,1427
5869d08f95d0e03926078980,comment,5,2,2016
5869d08f95d0e03926078980,comment,6,0,2017
5869d08f95d0e03926078980,comment,10,0,2098
5869d08f95d0e03926078980,comment,11,0,2509
5869d08f95d0e03926078980,comment,5,0,2521
5869d08f95d0e03926078980,comment,5,3,2551
5869d08f95d0e03926078980,userReply,6,0,2771
5869d08f95d0e03926078980,comment,26,0,2853
5869d08f95d0e03926078980,userReply,0,0,2861
5869d08f95d0e03926078980,userReply,3,0,2875
5869d08f95d0e03926078980,userReply,8,0,2994
5869d08f95d0e03926078980,userReply,5,0,3470
5869d08f95d0e03926078980,userReply,3,0,3507
5869d08f95d0e03926078980,userReply,3,0,3513
5869d08f95d0e03926078980,userReply,12,0,3684
5869d08f95d0e03926078980,userReply,3,0,3707
5869d08f95d0e03926078980,userReply,4,0,3776
5869d08f95d0e03926078980,comment,12,0,3835
5869d08f95d0e03926078980,comment,8,0,3921
5869d08f95d0e03926078980,userReply,0,0,3929
5869d08f95d0e03926078980,comment,4,0,3933
5869d08f95d0e03926078980,userReply,0,0,4146
5869d08f95d0e03926078980,comment,4,0,4253
5869d08f95d0e03926078980,comment,2,0,4287
5869d08f95d0e03926078980,comment,6,2,4447
5869d08f95d0e03926078980,comment,6,0,4653
5869d08f95d0e03926078980,comment,9,2,5139
5869d08f95d0e03926078980,comment,2,0,5342
5869d08f95d0e03926078980,userReply,4,0,5376
5869d08f95d0e03926078980,userReply,0,0,5579
5869d08f95d0e03926078980,userReply,1,0,5608
5869d08f95d0e03926078980,userReply,1,0,6908
5869d08f95d0e03926078980,comment,4,0,6935
5869d08f95d0e03926078980,userReply,0,0,9358
5869d08f95d0e03926078980,comment,1,0,10674
5869d08f95d0e03926078980,userReply,1,0,10736
5869d08f95d0e03926078980,userReply,2,0,21822
5869d08f95d0e03926078980,userReply,0,0,21845
5869d08f95d0e03926078980,userReply,0,0,21850
5869d08f95d0e03926078980,userReply,0,0,212956
5872fcb695d0e039260799f2,comment,14,0,356
5872fcb695d0e039260799f2,comment,7,0,444
5872fcb695d0e039260799f2,comment,6,0,518
5872fcb695d0e039260799f2,comment,11,1,634
5872fcb695d0e039260799f2,comment,21,3,640
5872fcb695d0e039260799f2,comment,9,0,665
5872fcb695d0e039260799f2,comment,5,0,843
5872fcb695d0e039260799f2,userReply,10,0,849
5872fcb695d0e039260799f2,comment,7,1,889
5872fcb695d0e039260799f2,comment,2,2,921
5872fcb695d0e039260799f2,comment,10,1,928
5872fcb695d0e039260799f2,userReply,6,0,1008
5872fcb695d0e039260799f2,comment,5,2,1149
5872fcb695d0e039260799f2,comment,3,0,1246
5872fcb695d0e039260799f2,comment,0,0,1441
5872fcb695d0e039260799f2,comment,3,0,1512
5872fcb695d0e039260799f2,userReply,1,0,1616
5872fcb695d0e039260799f2,comment,5,0,1771
