"host","bytes","date","time","day"
"199.234.151.56.du.nauticom.net",363,218,19,"Sunday"
"199.234.151.56.du.nauticom.net",786,218,19,"Sunday"
"199.234.151.56.du.nauticom.net",234,218,19,"Sunday"
"199.234.151.56.du.nauticom.net",669,218,19,"Sunday"
"199.234.151.56.du.nauticom.net",5866,218,19,"Sunday"
"31.75.med.umich.edu",40310,187,16,"Thursday"
"31.75.med.umich.edu",13436,187,16,"Thursday"
"31.75.med.umich.edu",1713,187,16,"Thursday"
"31.75.med.umich.edu",1204,187,16,"Thursday"
"31.75.med.umich.edu",12054,187,16,"Thursday"
"31.75.med.umich.edu",3998,187,16,"Thursday"
"31.75.med.umich.edu",0,187,16,"Thursday"
"31.75.med.umich.edu",786,187,16,"Thursday"
"31.dn258-lab.marist.edu",234,213,22,"Tuesday"
"31.dn258-lab.marist.edu",11473,213,22,"Tuesday"
"31.dn258-lab.marist.edu",786,213,22,"Tuesday"
"31.dn258-lab.marist.edu",363,213,22,"Tuesday"
"31.dn258-lab.marist.edu",5866,213,22,"Tuesday"
"31.dn258-lab.marist.edu",7280,213,22,"Tuesday"
"31.dn258-lab.marist.edu",1204,213,22,"Tuesday"
"31.dn258-lab.marist.edu",3977,213,22,"Tuesday"
"31.dn258-lab.marist.edu",669,213,22,"Tuesday"
"3dwave.stanford.edu",4209,203,17,"Saturday"
"3dwave.stanford.edu",12859,203,17,"Saturday"
"3dwave.stanford.edu",18114,203,17,"Saturday"
"3dwave.stanford.edu",3635,203,17,"Saturday"
"3dwave.stanford.edu",13116,203,17,"Saturday"
"3dwave.stanford.edu",2537,203,17,"Saturday"
"3dwave.stanford.edu",73728,203,17,"Saturday"
"3dwave.stanford.edu",7008,203,17,"Saturday"
"492.rahul.net",1713,198,16,"Monday"
"492.rahul.net",1204,198,16,"Monday"
"492.rahul.net",1173,198,16,"Monday"
"6053.netusa1.net",234,205,8,"Monday"
"6053.netusa1.net",1204,205,8,"Monday"
"6053.netusa1.net",1414,205,8,"Monday"
"6053.netusa1.net",669,205,8,"Monday"
"6053.netusa1.net",13372,205,8,"Monday"
"6053.netusa1.net",9866,205,8,"Monday"
"6053.netusa1.net",25218,205,8,"Monday"
"6053.netusa1.net",363,205,8,"Monday"
"6053.netusa1.net",4441,205,8,"Monday"
"71.178.med.umich.edu",786,198,10,"Monday"
"71.178.med.umich.edu",363,198,10,"Monday"
"71.178.med.umich.edu",7071,198,10,"Monday"
"71.178.med.umich.edu",234,198,10,"Monday"
"71.178.med.umich.edu",5866,198,10,"Monday"
"71.178.med.umich.edu",669,198,10,"Monday"
"a01.ppp.mo.net",786,219,6,"Monday"
"a01.ppp.mo.net",234,219,6,"Monday"
"a01.ppp.mo.net",1204,219,6,"Monday"
"a01.ppp.mo.net",363,219,6,"Monday"
"a01.ppp.mo.net",7034,219,6,"Monday"
"a01.ppp.mo.net",3723,219,6,"Monday"
"a01.ppp.mo.net",5866,219,6,"Monday"
"a01.ppp.mo.net",669,219,6,"Monday"
"a07.ppp.mo.net",234,189,13,"Saturday"
"a07.ppp.mo.net",25218,189,13,"Saturday"
"a07.ppp.mo.net",1204,189,13,"Saturday"
"a07.ppp.mo.net",13372,189,13,"Saturday"
"a07.ppp.mo.net",669,189,13,"Saturday"
"a07.ppp.mo.net",1414,189,13,"Saturday"
"a07.ppp.mo.net",363,189,13,"Saturday"
"a07.ppp.mo.net",4441,189,13,"Saturday"
"a07.ppp.mo.net",9867,189,13,"Saturday"
"a64209.dial.tip.net",1173,223,23,"Friday"
"a64209.dial.tip.net",8677,223,23,"Friday"
"a64209.dial.tip.net",11853,223,23,"Friday"
"a64209.dial.tip.net",4179,223,23,"Friday"
"a64209.dial.tip.net",786,223,23,"Friday"
"a64209.dial.tip.net",1713,223,23,"Friday"
"a64209.dial.tip.net",1204,223,23,"Friday"
"a64209.dial.tip.net",4714,223,23,"Friday"
"aal54.ccs.itd.umich.edu",40310,186,16,"Wednesday"
"aal54.ccs.itd.umich.edu",8677,186,16,"Wednesday"
"aal54.ccs.itd.umich.edu",11853,186,16,"Wednesday"
"aal54.ccs.itd.umich.edu",786,186,16,"Wednesday"
"aal54.ccs.itd.umich.edu",3985,186,16,"Wednesday"
