name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55
5869d08f95d0e03926078980,28,0,5.235294,4,0,0,5.739645,4,0,0.509804,0,0,0,1.083929,212956,0,8771.313725,3684,273,0,29575.121971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5872fcb695d0e039260799f2,21,0,4.653061,4,3,0,4.356753,6,0,0.469388,0,0,0,1.08209,90718,0,16116.142857,2934,356,0,25872.678246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58730b0495d0e03926079a00,41,0,5.526882,3,0,0,6.665276,11,0,0.806452,0,0,0,1.813345,381425,0,8948.645161,1993,34,0,44322.392078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587c377395d0e0392607ae0f,16,0,4.918919,3,1,0,4.662965,3,0,0.324324,0,0,0,0.709227,15959,0,2743.135135,1270,701,0,3167.291063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587c458495d0e0392607ae20,45,0,8.309524,4,4,0,9.456274,6,0,0.5,0,0,0,1.187282,10663,0,2285.738095,1661,99,0,2034.727821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588571fe95d0e0392607c2dc,21,0,4.868421,3,0,0,4.788336,4,0,0.605263,0,0,0,0.973694,11183,0,2028.921053,1233,154,0,1988.184033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5885800495d0e0392607c2ed,41,0,6.967033,5,0,0,7.846373,4,0,0.549451,0,0,0,1.035629,182798,0,6475.89011,1489,1492,0,26845.743294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588eac3a95d0e0392607d7a4,30,0,4.442308,3,0,0,5.373915,3,0,0.403846,0,0,0,0.773574,71763,0,4579.807692,2394,56,0,10496.658697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589defb695d0e02474635a8f,18,0,4.025641,3,2,0,4.113439,3,0,0.410256,0,0,0,0.909539,5104,0,2142.358974,2723,3543,0,1533.609013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58a05dc795d0e02474635ee8,47,0,12.584615,9,8,0,11.765804,5,0,0.461538,0,0,0,1.001201,2618,0,1778.061538,1700,1440,0,309.816522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58a1233095d0e0247463609b,44,0,4.892308,2,0,0,7.89407,7,0,0.815385,0,0,0,1.477882,17330,0,2075.692308,1170,85,0,2822.552086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58a1239295d0e0247463609c,19,0,6.340909,4,3,0,5.569615,6,0,0.613636,0,0,0,1.261522,6585,0,1707.795455,1188,614,0,1269.639293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58a8639d95d0e02474637561,101,0,16.530612,10,5,0,18.427902,2,0,0.265306,0,0,0,0.604687,2810,0,872.040816,583,99,0,721.089019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58aa508095d0e0247463780d,43,0,9.163265,3,1,0,12.319272,5,0,0.408163,0,0,0,1.059056,4141,0,1312.979592,881,88,0,882.669613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58aa5bb795d0e0247463781e,46,0,7.761364,4,0,0,9.703648,11,0,0.579545,0,0,0,1.544152,8566,0,1745.954545,1069,780,0,1598.846818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58aa5bf495d0e02474637821,32,0,5.240964,3,1,0,5.859306,11,0,0.771084,0,0,0,1.595155,9486,0,1831.46988,1291,876,0,1674.424418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58b3963a95d0e02474638b9c,28,0,6.921875,5,3,0,6.40264,3,0,0.46875,0,0,0,0.776004,61690,0,2901.5,1472,778,0,7687.613329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58b3967595d0e02474638b9d,26,0,5.688889,5,5,0,4.752139,6,0,0.644444,0,0,0,1.316945,7300,0,2017.622222,1357,71,0,1659.18751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58b4e7da95d0e024902fc90f,8,0,2.2,2,1,0,2.142306,7,0,0.35,0,0,0,1.565248,48810,0,20163.3,13043,449,0,19248.65825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
