name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,F166,F167,F168,F169,F170,F171,F172,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F186,F187,F188,F189,F190,F191,F192,F193,F194,F195,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F206,F207,F208,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F219,F220,F221,F222,F223,F224,F225,F226,F227,F228,F229,F230,F231,F232,F233,F234,F235,F236,F237,F238,F239,F240,F241,F242,F243,F244,F245,F246,F247,F248,F249,F250,F251,F252,F253,F254,F255,F256,F257,F258,F259,F260,F261,F262,F263,F264,F265,F266,F267,F268,F269
31.75.med.umich.edu,0,0,16,16,16,0,16,256,32,0,0,187,187,187,0,187,34969,374,2827.012911,0,3998,3998,1999,0,3998,0,3998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,16,16,0,16,16,16,0,0,187,187,187,0,187,187,187,0,0,13436,13436,13436,0,13436,13436,13436,0,0,16,16,16,0,16,1048576,80,0,0,187,187,187,0,187,228669389707,935,16929.966769,0,40310,1713,11213.4,0,40310,787681020720293248,56067,0,0,16,16,16,0,16,256,32,0,0,187,187,187,0,187,34969,374,555.78593,0,786,786,393,0,786,0,786,0,0,16,16,16,0,16,4096,48,0,0,187,187,187,0,187,6539203,561,15929.654401,0,40310,13436,21933.333333,0,40310,6528508598640,65800,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,16,16,0,16,4294967296,128,0,0,187,187,187,0,187,1495315559180183552,1496,13608.858837,0,3998,3998,9187.625,0,40310,0,73501,0,0,16,16,16,0,16,4294967296,128,0,0,187,187,187,0,187,1495315559180183552,1496,13608.858837,0,3998,3998,9187.625,0,40310,0,73501,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31.dn258-lab.marist.edu,0,0,22,22,22,0,22,22,22,0,0,213,213,213,0,213,213,213,0,0,7280,7280,7280,0,7280,7280,7280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,22,22,22,0,22,22,22,0,0,213,213,213,0,213,213,213,0,0,3977,3977,3977,0,3977,3977,3977,0,0,22,22,22,0,22,2494357888,154,0,0,213,213,213,0,213,19891027786401116,1491,4245.541796,0,5866,786,2942.142857,0,11473,3619234185570817146880,20595,0,0,22,22,22,0,22,234256,88,0,0,213,213,213,0,213,2058346161,852,257.685855,0,363,669,513,0,786,44665391628,2052,0,0,22,22,22,0,22,22,22,0,0,213,213,213,0,213,213,213,0,0,11473,11473,11473,0,11473,11473,11473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,22,22,22,0,22,1207269217792,198,0,0,213,213,213,0,213,902436039641232310272,1917,3950.132037,0,7280,1204,3539.111111,0,11473,104786094911790203274457513984,31852,0,0,22,22,22,0,22,1207269217792,198,0,0,213,213,213,0,213,902436039641232310272,1917,3950.132037,0,7280,1204,3539.111111,0,11473,104786094911790203274457513984,31852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3dwave.stanford.edu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17,17,17,0,17,17,17,0,0,203,203,203,0,203,203,203,0,0,73728,73728,73728,0,73728,73728,73728,0,0,17,17,17,0,17,289,34,0,0,203,203,203,0,203,41209,406,7853.127912,0,18114,18114,12561,0,18114,126942912,25122,0,0,17,17,17,0,17,1419857,85,0,0,203,203,203,0,203,344730881243,1015,5253.495617,0,12859,4209,7271.2,0,13116,6546548843579149312,36356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17,17,17,0,17,83521,68,0,0,203,203,203,0,203,1698181681,812,29614.787662,0,18114,18114,29454.25,0,73728,225245135640526848,117817,0,0,17,17,17,0,17,6975757441,136,0,0,203,203,203,0,203,2883821021683985920,1624,23612.081809,0,18114,12859,16900.75,0,73728,61270767728947412657397150253056,135206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17,17,17,0,17,6975757441,136,0,0,203,203,203,0,203,2883821021683985920,1624,23612.081809,0,18114,12859,16900.75,0,73728,61270767728947412657397150253056,135206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
71.178.med.umich.edu,0,0,10,10,10,0,10,10,10,0,0,198,198,198,0,198,198,198,0,0,7071,7071,7071,0,7071,7071,7071,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,10,10,0,10,100000,50,0,0,198,198,198,0,198,304316815968,990,2404.313478,0,5866,669,1583.6,0,5866,262007187289848,7918,0,0,10,10,10,0,10,10000,40,0,0,198,198,198,0,198,1536953616,792,257.685855,0,786,669,513,0,786,44665391628,2052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,10,10,0,10,1000000,60,0,0,198,198,198,0,198,60254729561664,1188,3105.345676,0,7071,786,2498.166667,0,7071,1852652821326515200,14989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,10,10,0,10,1000000,60,0,0,198,198,198,0,198,60254729561664,1188,3105.345676,0,7071,786,2498.166667,0,7071,1852652821326515200,14989
aal54.ccs.itd.umich.edu,0,0,16,16,16,0,16,16,16,0,0,186,186,186,0,186,186,186,0,0,3985,3985,3985,0,3985,3985,3985,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,16,16,0,16,16,16,0,0,186,186,186,0,186,186,186,0,0,8677,8677,8677,0,8677,8677,8677,0,0,16,16,16,0,16,65536,64,0,0,186,186,186,0,186,1196883216,744,18568.075369,0,40310,11853,13538.25,0,40310,452157892063920,54153,0,0,16,16,16,0,16,16,16,0,0,186,186,186,0,186,186,186,0,0,786,786,786,0,786,786,786,0,0,16,16,16,0,16,256,32,0,0,186,186,186,0,186,34596,372,20122.137672,0,40310,40310,26081.5,0,40310,477794430,52163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,16,16,0,16,16777216,96,0,0,186,186,186,0,186,41407371740736,1116,14930.418419,0,3985,8677,11135.833333,0,40310,15634645507312956997632,66815,0,0,16,16,16,0,16,16777216,96,0,0,186,186,186,0,186,41407371740736,1116,14930.418419,0,3985,8677,11135.833333,0,40310,15634645507312956997632,66815,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
abram-jimmy.evermann.indiana.edu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,15,15,0,15,3375,45,0,0,200,200,200,0,200,8000000,600,19575.964761,0,41397,8089,18802.666667,0,41397,2317903225026,56408,0,0,15,15,15,0,15,11390625,90,0,0,200,200,200,0,200,64000000000000,1200,4116.800137,0,11175,4209,6091.166667,0,11417,15760223317818882392064,36547,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,15,15,0,15,3375,45,0,0,200,200,200,0,200,8000000,600,17379.241679,0,11175,11417,21329.666667,0,41397,5281635210075,63989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,15,15,0,15,38443359375,135,0,0,200,200,200,0,200,512000000000000000000,1800,12115.803079,0,11175,6922,10328.333333,0,41397,36530672455502350299275812006789120,92955,0,0,15,15,15,0,15,38443359375,135,0,0,200,200,200,0,200,512000000000000000000,1800,12115.803079,0,11175,6922,10328.333333,0,41397,36530672455502350299275812006789120,92955,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
acd.ucar.edu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,13,13,0,13,13,13,0,0,187,187,187,0,187,187,187,0,0,7634,7634,7634,0,7634,7634,7634,0,0,14,14,14,0,14,2744,42,0,0,215,215,215,0,215,9938375,645,303.216644,0,1204,1204,1363.333333,0,1713,2419256196,4090,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0,14,14,13.75,0,14,35672,55,14,0,215,215,208,0,215,1858476125,832,3145.092791,0,7634,1713,2931,0,7634,18468601800264,11724,0.5,0,14,14,13.75,0,14,35672,55,14,0,215,215,208,0,215,1858476125,832,3145.092791,0,7634,1713,2931,0,7634,18468601800264,11724,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
acsmac15.acn.purdue.edu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,12,12,0,12,144,24,0,0,199,199,199,0,199,39601,398,2187.788381,0,7071,7071,5524,0,7071,28121367,11048,0,0,12,12,12,0,12,35831808,84,0,0,199,199,199,0,199,12358664279161400,1393,4245.541796,0,5866,786,2942.142857,0,11473,3619234185570817146880,20595,0,0,12,12,12,0,12,20736,48,0,0,199,199,199,0,199,1568239201,796,257.685855,0,363,669,513,0,786,44665391628,2052,0,0,12,12,12,0,12,12,12,0,0,199,199,199,0,199,199,199,0,0,11473,11473,11473,0,11473,11473,11473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,12,12,0,12,5159780352,108,0,0,199,199,199,0,199,489415464119070621696,1791,3925.931114,0,7071,1204,3515.888889,0,11473,101777812791383041274376355840,31643,0,0,12,12,12,0,12,5159780352,108,0,0,199,199,199,0,199,489415464119070621696,1791,3925.931114,0,7071,1204,3515.888889,0,11473,101777812791383041274376355840,31643,0,0,12,12,12,0,12,5159780352,108,0,0,199,199,199,0,199,489415464119070621696,1791,3925.931114,0,7071,1204,3515.888889,0,11473,101777812791383041274376355840,31643
alaw59.law.uiuc.edu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,8,8,0,8,64,16,0,0,199,199,199,0,199,39601,398,1843.427379,0,7071,7071,5767.5,0,7071,31564944,11535,0,0,8,8,8,0,8,32768,40,0,0,199,199,199,0,199,312079600999,995,2404.313478,0,5866,669,1583.6,0,5866,262007187289848,7918,0,0,8,8,8,0,8,4096,32,0,0,199,199,199,0,199,1568239201,796,257.685855,0,786,669,513,0,786,44665391628,2052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,8,8,0,8,2097152,56,0,0,199,199,199,0,199,12358664279161400,1393,2930.537152,0,7071,786,2779,0,7071,8270242194401562460160,19453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,8,8,0,8,2097152,56,0,0,199,199,199,0,199,12358664279161400,1393,2930.537152,0,7071,786,2779,0,7071,8270242194401562460160,19453
alibaba-14.slip.bradley.edu,0,0,14,14,14,0,14,196,28,0,0,204,204,204,0,204,41616,408,0,0,4324,4324,4324,0,4324,18696976,8648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,14,14,0,14,14,14,0,0,204,204,204,0,204,204,204,0,0,2435,2435,2435,0,2435,2435,2435,0,0,14,14,14,0,14,38416,56,0,0,204,204,204,0,204,1731891456,816,22084.44441,0,786,5978,13635.25,0,46573,263474844931536,54541,0,0,14,14,14,0,14,14,14,0,0,204,204,204,0,204,204,204,0,0,786,786,786,0,786,786,786,0,0,14,14,14,0,14,14,14,0,0,204,204,204,0,204,204,204,0,0,46573,46573,46573,0,46573,46573,46573,0,0,14,14,14,0,14,105413504,98,0,0,204,204,204,0,204,14703176545910784,1428,16507.350771,0,4324,4324,9374.857143,0,46573,11995255245322862867775488,65624,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,14,14,0,14,105413504,98,0,0,204,204,204,0,204,14703176545910784,1428,16507.350771,0,4324,4324,9374.857143,0,46573,11995255245322862867775488,65624,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
