name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
198.40.16.108.artic.edu,11,11,11,11,11,11,198,198,198,198,198,198,3635,3635,3635,3635,3635,3635
206dos104.flint.umich.edu,9,9,9,9,81,18,187,187,187,187,34969,374,1204,1204,602,1204,0,1204
206dos109.flint.umich.edu,8,8,8,8,8,8,198,198,198,198,198,198,6588,6588,6588,6588,6588,6588
66.28.med.umich.edu,14,14,14,14,14,14,240,240,240,240,240,240,8677,8677,8677,8677,8677,8677
76.52.med.umich.edu,13,13,13,13,13,13,198,198,198,198,198,198,4821,4821,4821,4821,4821,4821
95.120.med.umich.edu,12,12,12,12,12,12,184,184,184,184,184,184,786,786,786,786,786,786
a4216letnum.hip.berkeley.edu,0,0,0,0,0,0,192,192,192,192,192,192,1851,1851,1851,1851,1851,1851
acc-centris-9.tamu.edu,8,9,8.5,9,72,17,194,220,207,220,42680,414,1204,2676,1940,2676,3221904,3880
acc.wuacc.edu,10,10,10,10,100,20,230,230,230,230,52900,460,1871,3047,2459,3047,5700937,4918
acns.fsu.edu,3,3,3,3,3,3,185,185,185,185,185,185,0,0,0,0,0,0
acsmac4.acn.purdue.edu,12,12,12,12,12,12,205,205,205,205,205,205,786,786,786,786,786,786
ad107.ag.ohio-state.edu,11,11,11,11,11,11,195,195,195,195,195,195,3260,3260,3260,3260,3260,3260
adrenal.engin.umich.edu,13,13,13,13,13,13,183,183,183,183,183,183,786,786,786,786,786,786
aepc17.ae.eng.auburn.edu,13,13,13,13,169,26,234,234,234,234,54756,468,11996,12859,12427.5,12859,154256564,24855
aeromw.me.gatech.edu,9,9,9,9,9,9,194,194,194,194,194,194,3464,3464,3464,3464,3464,3464
aesmac36.aes.purdue.edu,12,12,12,12,12,12,203,203,203,203,203,203,1713,1713,1713,1713,1713,1713
alamo-lbeavers.nmsu.edu,16,16,16,16,16,16,193,193,193,193,193,193,17857,17857,17857,17857,17857,17857
alpha1.csd.uwm.edu,8,8,8,8,8,8,198,198,198,198,198,198,4247,4247,4247,4247,4247,4247
alpha2.csd.uwm.edu,21,21,21,21,21,21,202,202,202,202,202,202,3635,3635,3635,3635,3635,3635
aluminum.helios.nd.edu,11,11,11,11,11,11,207,207,207,207,207,207,9925,9925,9925,9925,9925,9925
andrew_lowry.electronics.indiana.edu,8,8,8,8,8,8,200,200,200,200,200,200,11853,11853,11853,11853,11853,11853
annex-v32bis-50.slip.andrew.cmu.edu,11,11,11,11,121,22,186,186,186,186,34596,372,1713,2537,2125,2537,4345881,4250
annex6-36.dial.umd.edu,16,16,16,16,16,16,241,241,241,241,241,241,5866,5866,5866,5866,5866,5866
annexp2.uccs.edu,6,6,6,6,6,6,227,227,227,227,227,227,786,786,786,786,786,786
apollo.sfsu.edu,13,13,13,13,13,13,234,234,234,234,234,234,12054,12054,12054,12054,12054,12054
aray.dialup.emory.edu,11,11,11,11,11,11,232,232,232,232,232,232,669,669,669,669,669,669
arc.dental.upenn.edu,11,11,11,11,11,11,198,198,198,198,198,198,46573,46573,46573,46573,46573,46573
