name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
02-17-05.comsvc.calpoly.edu,796262400000,1200,29402.6,3730780128010729984,147013,5,5,5,5,5
0321jona.jon.rpslmc.edu,288742875555428889207269846475469730579206187423281297746137392881860608,7230,10254.6,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,307638,30,30,30,30,30
0772jela.jelke.rpslmc.edu,8615125,615,880.333333,616069944,2641,3,3,3,3,3
0875pr3e.pro.rpslmc.edu,46316424572422916067278394122955653120,3616,4903.0625,3484766261899084954895335690279479545539690925513506816,78449,16,16,16,16,16
10.salc.wsu.edu,40089475140625,1110,2498.666667,1853438842888384768,14992,6,6,6,6,6
100.144.med.umich.edu,14621452717790938746322837820419803709440000,3553,20859.894737,8819753513224949520404593801956253484931635596774000595788237696391744323584,396338,19,19,19,19,19
103.135.med.umich.edu,3242931408352296960,1648,5986.125,46468638751554099413549842432,47889,8,8,8,8,8
105.4.med.umich.edu,1222830961,748,15104,7077823723229625,60416,4,4,4,4,4
118.32.med.umich.edu,218971633365921444657455309122437120,3405,3723,94632929133900966524277661543407567737497323569152,55845,15,15,15,15,15
12-102eb.itslab.calpoly.edu,228,228,0,0,0,1,1,1,1,1
12-102md.acs.calpoly.edu,122978496247489,1338,8917,0,53502,6,6,6,6,6
12-105da.acs.calpoly.edu,33025422047685708,1603,8845.714286,851316144472914402987737088,61920,7,7,7,7,7
12-105de.acs.calpoly.edu,732082482176,1180,3949.6,1243747264302840,19748,5,5,5,5,5
12-105he.acs.calpoly.edu,2750058481,916,9814.75,3650689536892860,39259,4,4,4,4,4
12-105id.acs.calpoly.edu,589579257376,1130,2681,50786414719488504,13405,5,5,5,5,5
120.233.med.umich.edu,716703146875,1175,25640.4,0,128202,5,5,5,5,5
120.33.med.umich.edu,2097490386086780786904452300800,2795,10594.538462,8825510053020703792517812706697984631930290700288,137729,13,13,13,13,13
120cc-pc-11.cl.msu.edu,10941048,666,30826,1215383660150,92478,3,3,3,3,3
13.dn258-lab.marist.edu,963589987081520239880738552683114828660736,3870,13778.166667,277342792131347586550942569206298574980949324741718031150342652035072,248007,18,18,18,18,18
131.115.med.umich.edu,210906087424,920,10783.8,1160492431607493632,53919,5,5,5,5,5
132.130.med.umich.edu,24174402099746622192797025353934569472,3472,224723.4375,66786043691452089622470537364953925382884366361362090547684048896,3595575,16,16,16,16,16
