name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99
***.novo.dk,1,8080.144231,45569751.192308,16160.288462,12403542977440581116444551213601700245047808204509145989120,62188199177676814218126903882954218510232980605376403056714646284297496094506198653534014588764291072,24807085954881162232889102427203400490095616409018291978240,123823,9478508248,247646,8539.517241,62188199177676806447451334980037934832385353311300776487087290075739411087256559697916873767930298368,247646,8539.517241,62188199177676806447451334980037934832385353311300776487087290075739411087256559697916873767930298368,247646,8539.517241,62188199177676806447451334980037934832385353311300776487087290075739411087256559697916873767930298368,247646,10082.666667,41608401046834841275754654219308031280566104185238651685176746288164995082609240309760,241984,20482694.916667,62188199177676821988802472785870502188080607899452029626342002492855581101755837609151155409598283776,491584678,10318.583333,998601625124036411473994798561433948645774093310542118879729020368329647183396929011712,247646,8539.517241,8539.517241,8539.517241,62188199177676829759478041688786785865928235193527656195969358701413666109005476564768296230432276480,62188199177676829759478041688786785865928235193527656195969358701413666109005476564768296230432276480,62188199177676829759478041688786785865928235193527656195969358701413666109005476564768296230432276480,247646,247646,247646,14.5,208,29,14.5,208,29,14.5,208,29,14.5,208,29,1,1,29,1,1,29,1,1,29,1,1,29,1.208333,24,29,1.208333,24,29,1.208333,24,29,1.208333,24,29,29,29,29,29,29,29,29,29,29,29,29,29,2,29,1,24,2,29,1,24,8539.517241,62188199177676829759478041688786785865928235193527656195969358701413666109005476564768296230432276480,247646,29,29,29,29
001.msy4.communique.net,1,6891.375,6891.375,6891.375,986709150458228601599819776,986709150458228601599819776,986709150458228601599819776,55131,55131,55131,5757.357143,130654463371856779935744,40301.5,16002658.571429,986709150458228464160866304,112018610,7875.857143,261308926743713559871488,55131,6891.375,986709150458228464160866304,55131,6891.375,986709150458228464160866304,55131,6891.375,986709150458228464160866304,55131,6891.375,6891.375,6891.375,986709150458228601599819776,986709150458228601599819776,986709150458228601599819776,55131,55131,55131,8,8,8,8,8,8,8,8,8,8,8,8,1.142857,2,8,1.142857,2,8,1.142857,2,8,1.142857,2,8,1,1,8,1,1,8,1,1,8,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,1,7,1,8,1,7,1,8,6891.375,986709150458228601599819776,55131,8,8,8,8
007.thegap.com,1,13967.510417,15957712609249242,55870.041667,235378561281772799766948844986253419335146860406600083245553003003904,1281294324739808438126721366980049154663884279630008966158975160412959022537994074931657882631638634941589895019652978835456,941514245127091199067795379945013677340587441626400332982212012015616,150186,36766569851710251008,600744,18711.0625,1416436136585464742660091849432893511889598141079801625984730903229008682577853349358970868942542274268152185495748608,598754,77795.375,1281294324739808438126721366980049154663884279630008966158975160412959022537994074931657882631638634941589895019652978835456,2489452,18773.25,5665744546341858970640367397731574047558392564319206503938923612916034730311413397435883475770169097072608741982994432,600744,23335.130435,2748922062642998194540740264887718336660702043957849532205260956703416344739241674145792,536708,108037486431.391312,1281294324739808144558898520250895668478809680962880544198656546872975184126622633405529743305583201979215096923565099843584,2484862187922,26119.304348,1407448096073215075604859015622511788370279446506418960489093609832149168506491737162645504,600744,17668.941176,17668.941176,17668.941176,1281294324739808291342809943615472411571346980296444755178815853642967103332308354168593812968610918460402495971609039339520,1281294324739808291342809943615472411571346980296444755178815853642967103332308354168593812968610918460402495971609039339520,1281294324739808291342809943615472411571346980296444755178815853642967103332308354168593812968610918460402495971609039339520,600744,600744,600744,8.5,2304,34,8.5,2304,34,8.5,2304,34,8.5,2304,34,1.0625,4,34,1.0625,4,34,1.0625,4,34,1.0625,4,34,1.478261,512,34,1.478261,512,34,1.478261,512,34,1.478261,512,34,34,34,34,34,34,34,34,34,34,34,34,34,4,32,1,23,4,32,1,23,17668.941176,1281294324739808291342809943615472411571346980296444755178815853642967103332308354168593812968610918460402495971609039339520,600744,34,34,34,34
01-dynamic-c.wokingham.luna.net,1,7000.752297,329786965684.800781,21002.256892,4840633574286737983668224,0,14521900722860212877262848,142258.333333,789509995849413,426775,8400.054348,0,386402.5,1105037.826087,0,50831740,9277.717391,0,426775,11478.848485,0,378802,15132303885172738675347747292315648,0,499366028210700373980632651432722432,12932.575758,0,426775,7903.240741,7903.240741,7903.240741,0,0,0,426775,426775,426775,18,2394,54,18,2394,54,18,2394,54,18,2394,54,1.173913,128,54,1.173913,128,54,1.173913,128,54,1.173913,128,54,1.636364,800,54,1.636364,800,54,1.636364,800,54,1.636364,800,54,54,54,54,54,54,54,54,54,54,54,54,54,3,46,1,33,3,46,1,33,7903.240741,0,426775,54,54,54,54
01.ts01.zircon.net.au,1,10320.333333,10320.333333,10320.333333,25872363315,25872363315,25872363315,30961,30961,30961,10320.333333,25872363315,30961,10320.333333,25872363315,30961,10320.333333,25872363315,30961,10320.333333,25872363315,30961,10320.333333,25872363315,30961,10320.333333,25872363315,30961,10320.333333,10320.333333,10320.333333,25872363315,25872363315,25872363315,30961,30961,30961,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,1,3,1,3,10320.333333,25872363315,30961,3,3,3,3
02-17-05.comsvc.calpoly.edu,1,29402.6,29402.6,29402.6,3730780128010729984,3730780128010729984,3730780128010729984,147013,147013,147013,48095.444444,2102421775860,144286.333333,806466373,3730780128010729984,2419399119,49004.333333,6307265327580,147013,29402.6,3730780128010729984,147013,29402.6,3730780128010729984,147013,29402.6,3730780128010729984,147013,29402.6,29402.6,29402.6,3730780128010729984,3730780128010729984,3730780128010729984,147013,147013,147013,5,5,5,5,5,5,5,5,5,5,5,5,1.666667,3,5,1.666667,3,5,1.666667,3,5,1.666667,3,5,1,1,5,1,1,5,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,5,1,3,1,5,29402.6,3730780128010729984,147013,5,5,5,5
02-dynamic-c.wokingham.luna.net,1,28449.888889,28449.888889,28449.888889,34524353300520607587654701154304,34524353300520607587654701154304,34524353300520607587654701154304,256049,256049,256049,31934.3125,69516262455046952224278183936,255474.5,67527.25,34524353300520607587654701154304,540218,32006.125,139032524910093904448556367872,256049,28449.888889,34524353300520607587654701154304,256049,28449.888889,34524353300520607587654701154304,256049,28449.888889,34524353300520607587654701154304,256049,28449.888889,28449.888889,28449.888889,34524353300520607587654701154304,34524353300520607587654701154304,34524353300520607587654701154304,256049,256049,256049,9,9,9,9,9,9,9,9,9,9,9,9,1.125,2,9,1.125,2,9,1.125,2,9,1.125,2,9,1,1,9,1,1,9,1,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,8,1,9,1,8,1,9,28449.888889,34524353300520607587654701154304,256049,9,9,9,9
023.msy4.communique.net,1,37395.5,37395.5,37395.5,939799780,939799780,939799780,74791,74791,74791,37395.5,939799780,74791,37395.5,939799780,74791,37395.5,939799780,74791,37395.5,939799780,74791,37395.5,939799780,74791,37395.5,939799780,74791,37395.5,37395.5,37395.5,939799780,939799780,939799780,74791,74791,74791,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,37395.5,939799780,74791,2,2,2,2
03-dynamic-c.wokingham.luna.net,1,8988.355072,106904846211.652176,26965.065217,225586477146,0,676759431438,264986,29505737554416,794958,16164.418367,0,792056.5,99203.183673,0,4860956,16223.632653,0,794958,19337.882353,0,657488,2467962167461.882324,0,83910713693704,23381.117647,0,794958,15587.411765,15587.411765,15587.411765,0,0,0,794958,794958,794958,17,276,51,17,276,51,17,276,51,17,276,51,1.040816,4,51,1.040816,4,51,1.040816,4,51,1.040816,4,51,1.5,3456,51,1.5,3456,51,1.5,3456,51,1.5,3456,51,51,51,51,51,51,51,51,51,51,51,51,51,3,49,1,34,3,49,1,34,15587.411765,0,794958,51,51,51,51
0321jona.jon.rpslmc.edu,1,10254.6,10254.6,10254.6,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,307638,307638,307638,10977.888889,49943677646109113473662000472062418399040398421790313552117393691178335328618855911895078161265595514880,296403,1667987.740741,1059901794867581397670270886161825654414229519500882843728085378829803987614006386381561209618424780841518014398464,45035669,11394,399549421168872907789296003776499347192323187374322508416939149529426682628950847295160625290124764119040,307638,8900.791667,164408190445114317868413023873487166090125484509137736331552314180162889404213009024286720,213619,1489035192382166052896768,1059901794867581671076611484038316200977007909203553512874264240481358540835332187625686109540415183780665142280192,35736844617171983122038784,12818.25,1972898285341372040577380578115040179743585909203222861896566570241181312416149873746771968,307638,10254.6,10254.6,10254.6,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,307638,307638,307638,30,30,30,30,30,30,30,30,30,30,30,30,1.111111,8,30,1.111111,8,30,1.111111,8,30,1.111111,8,30,1.25,12,30,1.25,12,30,1.25,12,30,1.25,12,30,30,30,30,30,30,30,30,30,30,30,30,30,1,27,1,24,1,27,1,24,10254.6,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,307638,30,30,30,30
