name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
02-17-05.comsvc.calpoly.edu,8,8,8,8,32768,40,240,240,240,240,796262400000,1200,11757,1713,29402.6,131166,3730780128010729984,147013
0321jona.jon.rpslmc.edu,2,2,2.133333,4,4294967296,64,241,241,241,241,288742875555428889207269846475469730579206187423281297746137392881860608,7230,18149,9202,10254.6,28847,1059901794867580987560759989347089834570061934946876840008817086352472157782017684515373859735439176432797322575872,307638
0772jela.jelke.rpslmc.edu,14,14,14,14,2744,42,205,205,205,205,8615125,615,651,786,880.333333,1204,616069944,2641
0875pr3e.pro.rpslmc.edu,11,11,11,11,45949729863572160,176,226,226,226,226,46316424572422916067278394122955653120,3616,8677,3260,4903.0625,18149,3484766261899084954895335690279479545539690925513506816,78449
10.salc.wsu.edu,23,23,23,23,148035889,138,185,185,185,185,40089475140625,1110,7074,786,2498.666667,7074,1853438842888384768,14992
100.144.med.umich.edu,11,11,11.736842,13,196931726349960052736,223,187,187,187,187,14621452717790938746322837820419803709440000,3553,3998,7634,20859.894737,66202,8819753513224949520404593801956253484931635596774000595788237696391744323584,396338
103.135.med.umich.edu,6,6,6,6,1679616,48,206,206,206,206,3242931408352296960,1648,4209,3635,5986.125,18149,46468638751554099413549842432,47889
105.4.med.umich.edu,7,7,7,7,2401,28,187,187,187,187,1222830961,748,11175,11175,15104,41397,7077823723229625,60416
118.32.med.umich.edu,13,13,13,13,51185893014090760,195,227,227,227,227,218971633365921444657455309122437120,3405,11836,1932,3723,11836,94632929133900966524277661543407567737497323569152,55845
12-102eb.itslab.calpoly.edu,13,13,13,13,13,13,228,228,228,228,228,228,0,0,0,0,0,0
12-102md.acs.calpoly.edu,15,15,15,15,11390625,90,223,223,223,223,122978496247489,1338,786,1204,8917,46053,0,53502
12-105da.acs.calpoly.edu,19,19,19,19,893871739,133,229,229,229,229,33025422047685708,1603,18556,7008,8845.714286,18556,851316144472914402987737088,61920
12-105de.acs.calpoly.edu,10,10,10,10,100000,50,236,236,236,236,732082482176,1180,509,515,3949.6,17688,1243747264302840,19748
12-105he.acs.calpoly.edu,19,19,19,19,130321,76,229,229,229,229,2750058481,916,18556,12859,9814.75,18556,3650689536892860,39259
