name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
199.234.151.56.du.nauticom.net,19,19,19,19,2476099,95,218,218,218,218,492359665568,1090,363,669,1583.6,5866,262007187289848,7918
31.75.med.umich.edu,16,16,16,16,4294967296,128,187,187,187,187,1495315559180183552,1496,40310,3998,9187.625,40310,0,73501
31.dn258-lab.marist.edu,22,22,22,22,1207269217792,198,213,213,213,213,902436039641232310272,1917,234,1204,3539.111111,11473,104786094911790238458829602816,31852
3dwave.stanford.edu,17,17,17,17,6975757441,136,203,203,203,203,2883821021683985920,1624,4209,12859,16900.75,73728,61270767728947421664596404994048,135206
492.rahul.net,16,16,16,16,4096,48,198,198,198,198,7762392,594,1713,1204,1363.333333,1713,2419256196,4090
6053.netusa1.net,8,8,8,8,134217728,72,205,205,205,205,639417840613205082112,1845,234,1414,6309,25218,1429398721130543071958545727488,56781
71.178.med.umich.edu,10,10,10,10,1000000,60,198,198,198,198,60254729561664,1188,786,786,2498.166667,7071,1852652821326515200,14989
a01.ppp.mo.net,6,6,6,6,1679616,48,219,219,219,219,5291184662917065728,1752,786,1204,2484.875,7034,8261046980897672374779904,19879
a07.ppp.mo.net,13,13,13,13,10604499373,117,189,189,189,189,307720364049353801728,1701,234,1414,6309.111111,25218,1429543602411825155169442594816,56782
a64209.dial.tip.net,23,23,23,23,78310985281,184,223,223,223,223,6115597639891380224,1784,1173,4179,4287.375,11853,3852691539662510817661681664,34299
aal54.ccs.itd.umich.edu,16,16,16,16,16777216,96,186,186,186,186,41407371740736,1116,40310,8677,11135.833333,40310,15634645507312956997632,66815
abram-jimmy.evermann.indiana.edu,15,15,15,15,38443359375,135,200,200,200,200,512000000000000000000,1800,6922,6922,10328.333333,41397,36530672455502354910961830434177024,92955
acd.ucar.edu,14,14,13.75,14,35672,55,215,215,208,215,1858476125,832,1173,1713,2931,7634,18468601800264,11724
acsmac15.acn.purdue.edu,12,12,12,12,5159780352,108,199,199,199,199,489415464119070621696,1791,11473,1204,3515.888889,11473,101777812791383041274376355840,31643
afletch.earthlink.net,22,22,22,22,2494357888,154,229,229,229,229,33025422047685708,1603,44877,11175,18597.428571,44877,20372710191720605758603132928,130182
alaw59.law.uiuc.edu,8,8,8,8,2097152,56,199,199,199,199,12358664279161400,1393,5866,786,2779,7071,8270242194401564557312,19453
alibaba-14.slip.bradley.edu,14,14,14,14,105413504,98,204,204,204,204,14703176545910784,1428,4324,4324,9374.857143,46573,11995255245322862867775488,65624
ames-research-pc-6.ucsd.edu,12,12,12,12,2985984,72,191,191,191,191,48551226272641,1146,11417,11417,14573.833333,49152,392415536419678237753344,87443
amrit.me.jhu.edu,22,22,22,22,484,44,233,233,233,233,54289,466,1204,1204,1047.5,1204,1072764,2095
ams82.pi.net,13,13,13,13,4826809,78,218,218,218,218,107334407093824,1308,5866,786,2492,7034,1842958555396790784,14952
anat3d2.anatomy.upenn.edu,12,12,12,12,5159780352,108,219,219,219,219,1158769441178837450752,1971,1713,28219,31703.777778,84905,2708290404644801652329755943026819072,285334
anc-p2-73.alaska.net,14,14,14,14,537824,70,198,198,198,198,304316815968,990,18149,2261,5209.4,18149,188927580185216896,26047
annex-v32bis2-31.slip.andrew.cmu.edu,14,14,14,14,1475789056,112,187,187,187,187,1495315559180183552,1496,3998,3998,15239.625,66554,99688256140780400039168049152,121917
annex03-port06.comm.net,14,14,14,14,105413504,98,183,183,183,183,6873178582377927,1281,1713,3985,10334.571429,40310,38577189982439833325273088,72342
aquaduct.pipex.net,10,10,10,10,100,20,183,183,183,183,33489,366,46888,46888,27261,46888,357942992,54522
